# DFVLR L030-4
Variables= X  Y  
zone T="Upp-0" i= 47 
            0.000000000           0.000000000
            0.000254831           0.001832760
            0.001552384           0.003504455
            0.003389128           0.004255077
            0.018178636           0.006878864
            0.047541461           0.011906019
            0.076674156           0.016682845
            0.105583698           0.021208347
            0.134276072           0.025478542
            0.162757259           0.029492436
            0.191030250           0.033249034
            0.219102024           0.036744352
            0.246975572           0.039979390
            0.274655881           0.042950162
            0.302145939           0.045657667
            0.329448740           0.048097919
            0.356568270           0.050271917
            0.383505528           0.052176672
            0.410264502           0.053812185
            0.436847185           0.055177461
            0.463255572           0.056270507
            0.489490660           0.057091324
            0.515555440           0.057639913
            0.541450910           0.057913284
            0.567178066           0.057912436
            0.592737905           0.057636371
            0.617551266           0.057094740
            0.641575326           0.056208770
            0.665379201           0.055117333
            0.688965957           0.053676887
            0.712337561           0.051941262
            0.735496003           0.049913449
            0.758442278           0.047599430
            0.781179375           0.045001200
            0.803709283           0.042124741
            0.826032999           0.038974041
            0.848152513           0.035551095
            0.870069818           0.031861884
            0.891783914           0.027908403
            0.913298787           0.023694640
            0.934613439           0.019223586
            0.955729861           0.014499228
            0.976648051           0.009523561
            0.997371996           0.004299577
            0.998793924           0.003478969
            0.999872419           0.001793923
            1.000000000           0.000000000

zone T="Low-0" i= 47 
            0.000000000           0.000000000
            0.000544542          -0.001498184
            0.001741216          -0.002736587
            0.004241586          -0.003326335
            0.019163595          -0.002381136
            0.048798366          -0.000647354
            0.078158121           0.000888905
            0.107249828           0.002242598
            0.136079463           0.003426686
            0.164653995           0.004453135
            0.192979401           0.005333911
            0.221061653           0.006081975
            0.248908720           0.006707300
            0.276524586           0.007219857
            0.303917217           0.007629618
            0.331090597           0.007947550
            0.358051699           0.008180636
            0.384806498           0.008338846
            0.411359974           0.008431156
            0.437717108           0.008463548
            0.463884871           0.008445995
            0.489868246           0.008384480
            0.515672211           0.008284987
            0.541301748           0.008156491
            0.566762834           0.008003979
            0.592059453           0.007833433
            0.616557621           0.007646500
            0.640220478           0.007401294
            0.663684007           0.007089191
            0.686954185           0.006713184
            0.710039982           0.006279261
            0.732947377           0.005789417
            0.755684343           0.005248641
            0.778256857           0.004660925
            0.800671897           0.004028265
            0.822935442           0.003353655
            0.845053471           0.002641085
            0.867032961           0.001892554
            0.888878892           0.001112051
            0.910596251           0.000299579
            0.932191014          -0.000539874
            0.953669163          -0.001405309
            0.975034683          -0.002295726
            0.996283591          -0.003215116
            0.998315780          -0.002585003
            0.999496350          -0.001360250
            1.000000000           0.000000000
