Variables= X  Y  Z 
 zone T="sec 0" i= 201 j= 51 
  9.051801488   -1.630952944   9.010000000
  9.034688055   -1.623618879   9.010000000
  9.013936055   -1.614822634   9.010000000
  8.989549388   -1.604612378   9.010000000
  8.961534994   -1.593038115   9.010000000
  8.929903748   -1.580149178   9.010000000
  8.894671320   -1.565991788   9.010000000
  8.855858958   -1.550606834   9.010000000
  8.813494136   -1.534027994   9.010000000
  8.767611040   -1.516280299   9.010000000
  8.718250858   -1.497379243   9.010000000
  8.665461848   -1.477330468   9.010000000
  8.609299183   -1.456130076   9.010000000
  8.549824568   -1.433765540   9.010000000
  8.487105656   -1.410217181   9.010000000
  8.421215270   -1.385460141   9.010000000
  8.352230492   -1.359466737   9.010000000
  8.280231644   -1.332209102   9.010000000
  8.205301216   -1.303661946   9.010000000
  8.127522802   -1.273805311   9.010000000
  8.046980080   -1.242627172   9.010000000
  7.963755911   -1.210125734   9.010000000
  7.877931574   -1.176311314   9.010000000
  7.789586200   -1.141207705   9.010000000
  7.698796413   -1.104852929   9.010000000
  7.605636208   -1.067299366   9.010000000
  7.510177058   -1.028613223   9.010000000
  7.412488248   -0.988873376   9.010000000
  7.312637417   -0.948169655   9.010000000
  7.210691262   -0.906600643   9.010000000
  7.106716385   -0.864271124   9.010000000
  7.000780201   -0.821289299   9.010000000
  6.892951892   -0.777763931   9.010000000
  6.783303313   -0.733801569   9.010000000
  6.671909822   -0.689504004   9.010000000
  6.558850975   -0.644966084   9.010000000
  6.444211034   -0.600274031   9.010000000
  6.328079272   -0.555504327   9.010000000
  6.210550038   -0.510723244   9.010000000
  6.091722578   -0.465987046   9.010000000
  5.971700616   -0.421342841   9.010000000
  5.850591718   -0.376830036   9.010000000
  5.728506464   -0.332482310   9.010000000
  5.605557476   -0.288329990   9.010000000
  5.481858347   -0.244402676   9.010000000
  5.357522543   -0.200731960   9.010000000
  5.232662335   -0.157354059   9.010000000
  5.107387816   -0.114312196   9.010000000
  4.981806082   -0.071658545   9.010000000
  4.856020618   -0.029455613   9.010000000
  4.730130937   0.012223088   9.010000000
  4.604232513   0.053293158   9.010000000
  4.478417013   0.093660260   9.010000000
  4.352772842   0.133221928   9.010000000
  4.227385983   0.171870184   9.010000000
  4.102341104   0.209494886   9.010000000
  3.977722885   0.245987682   9.010000000
  3.853617507   0.281246404   9.010000000
  3.730114233   0.315179720   9.010000000
  3.607307005   0.347711813   9.010000000
  3.485295970   0.378786884   9.010000000
  3.364188859   0.408373225   9.010000000
  3.244102130   0.436466667   9.010000000
  3.125161816   0.463093186   9.010000000
  3.007504007   0.488310517   9.010000000
  2.891274920   0.512208642   9.010000000
  2.776630539   0.534909061   9.010000000
  2.663735803   0.556562842   9.010000000
  2.552763349   0.577347450   9.010000000
  2.443891858   0.597462449   9.010000000
  2.337304032   0.617124219   9.010000000
  2.233184279   0.636559840   9.010000000
  2.131716180   0.656000396   9.010000000
  2.033079842   0.675673932   9.010000000
  1.937449215   0.695798334   9.010000000
  1.844989499   0.716574428   9.010000000
  1.755854718   0.738179550   9.010000000
  1.670185578   0.760761873   9.010000000
  1.588107674   0.784435693   9.010000000
  1.509730122   0.809277887   9.010000000
  1.435144675   0.835325675   9.010000000
  1.364425342   0.862575768   9.010000000
  1.297628533   0.890984952   9.010000000
  1.234793709   0.920472046   9.010000000
  1.175944505   0.950921168   9.010000000
  1.121090281   0.982186148   9.010000000
  1.070228021   1.014095897   9.010000000
  1.023344491   1.046460502   9.010000000
  0.980418583   1.079077774   9.010000000
  0.941423716   1.111739998   9.010000000
  0.906330224   1.144240599   9.010000000
  0.875107624   1.176380495   9.010000000
  0.847726715   1.207973958   9.010000000
  0.824161471   1.238853925   9.010000000
  0.804390814   1.268876933   9.010000000
  0.788400518   1.297928446   9.010000000
  0.776186110   1.325930878   9.010000000
  0.767759553   1.352862029   9.010000000
  0.763171283   1.378815662   9.010000000
  0.762620852   1.404305551   9.010000000
  0.770000000   1.440000000   9.010000000
  0.784421190   1.464201487   9.010000000
  0.799549566   1.478764175   9.010000000
  0.818428599   1.492074088   9.010000000
  0.841283153   1.504783536   9.010000000
  0.868213421   1.517212594   9.010000000
  0.899277773   1.529576710   9.010000000
