Variables= X  Y  
 zone T="Upp-0" i= 201 
            0.000000000           0.000000000
            0.000242454           0.001678401
            0.000597111           0.002633042
            0.001063893           0.003513023
            0.001642694           0.004362805
            0.002333385           0.005196254
            0.003135812           0.006019175
            0.004049795           0.006834385
            0.005075130           0.007643365
            0.006211588           0.008446929
            0.007458914           0.009245524
            0.008816829           0.010039390
            0.010285030           0.010828638
            0.011863188           0.011613306
            0.013550950           0.012393384
            0.015347939           0.013168834
            0.017253753           0.013939604
            0.019267965           0.014705634
            0.021390126           0.015466862
            0.023619760           0.016223227
            0.025956368           0.016974672
            0.028399429           0.017721145
            0.030948395           0.018462600
            0.033602697           0.019198996
            0.036361741           0.019930299
            0.039224910           0.020656479
            0.042191563           0.021377511
            0.045261037           0.022093373
            0.048432645           0.022804047
            0.051705678           0.023509513
            0.055079404           0.024209755
            0.058553069           0.024904753
            0.062125895           0.025594485
            0.065797083           0.026278928
            0.069565812           0.026958051
            0.073431239           0.027631818
            0.077392501           0.028300185
            0.081448709           0.028963102
            0.085598959           0.029620507
            0.089842320           0.030272330
            0.094177845           0.030918490
            0.098604563           0.031558893
            0.103121484           0.032193434
            0.107727598           0.032821996
            0.112421875           0.033444450
            0.117203265           0.034060652
            0.122070698           0.034670446
            0.127023086           0.035273666
            0.132059321           0.035870130
            0.137178277           0.036459645
            0.142378809           0.037042009
            0.147659753           0.037617004
            0.153019928           0.038184405
            0.158458136           0.038743977
            0.163973160           0.039295476
            0.169563767           0.039838648
            0.175228706           0.040373233
            0.180966711           0.040898966
            0.186776497           0.041415574
            0.192656765           0.041922781
            0.198606201           0.042420306
            0.204623473           0.042907867
            0.210707236           0.043385178
            0.216856128           0.043851955
            0.223068776           0.044307909
            0.229343788           0.044752756
            0.235679762           0.045186210
            0.242075280           0.045607988
            0.248528913           0.046017808
            0.255039216           0.046415390
            0.261604733           0.046800460
            0.268223997           0.047172744
            0.274895526           0.047531972
            0.281617828           0.047877878
            0.288389400           0.048210199
            0.295208727           0.048528675
            0.302074284           0.048833052
            0.308984535           0.049123076
            0.315937935           0.049398498
            0.322932929           0.049659072
            0.329967952           0.049904555
            0.337041430           0.050134707
            0.344151782           0.050349289
            0.351297417           0.050548067
            0.358476737           0.050730807
            0.365688136           0.050897279
            0.372930001           0.051047254
            0.380200713           0.051180507
            0.387498645           0.051296814
            0.394822164           0.051395955
            0.402169634           0.051477712
            0.409539411           0.051541871
            0.416929846           0.051588223
            0.424339286           0.051616562
            0.431766074           0.051626687
            0.439208549           0.051618407
            0.446665046           0.051591533
            0.454133898           0.051545888
            0.461613434           0.051481304
            0.469101981           0.051397622
            0.476597864           0.051294695
            0.484099407           0.051172392
            0.491604932           0.051030595
            0.499112760           0.050869202
            0.506621211           0.050688130
            0.514128608           0.050487316
            0.521633269           0.050266715
            0.529133518           0.050026310
            0.536627676           0.049766103
            0.544114067           0.049486125
            0.551591016           0.049186432
            0.559056852           0.048867111
            0.566509905           0.048528277
            0.573948507           0.048170076
            0.581370995           0.047792686
            0.588775708           0.047396317
            0.596160991           0.046981213
            0.603525192           0.046547652
            0.610866663           0.046095946
            0.618183763           0.045626439
            0.625474854           0.045139513
            0.632738307           0.044635581
            0.639972497           0.044115089
            0.647175805           0.043578516
            0.654346620           0.043026374
            0.661483339           0.042459202
            0.668584366           0.041877571
            0.675648111           0.041282076
            0.682672996           0.040673342
            0.689657449           0.040052012
            0.696599907           0.039418756
            0.703498819           0.038774257
            0.710352641           0.038119221
            0.717159839           0.037454364
            0.723918892           0.036780414
            0.730628288           0.036098110
            0.737286527           0.035408196
            0.743892118           0.034711418
            0.750443584           0.034008527
            0.756939461           0.033300267
            0.763378294           0.032587381
            0.769758645           0.031870604
            0.776079086           0.031150662
            0.782338204           0.030428268
            0.788534597           0.029704122
            0.794666882           0.028978907
            0.800733685           0.028253288
            0.806733650           0.027527913
            0.812665436           0.026803406
            0.818527714           0.026080370
            0.824319175           0.025359385
            0.830038523           0.024641006
            0.835684478           0.023925765
            0.841255778           0.023214168
            0.846751177           0.022506698
            0.852169445           0.021803812
            0.857509371           0.021105943
            0.862769760           0.020413501
            0.867949436           0.019726874
            0.873047240           0.019046427
            0.878062033           0.018372508
            0.882992691           0.017705443
            0.887838114           0.017045542
            0.892597216           0.016393102
            0.897268934           0.015748402
            0.901852222           0.015111714
            0.906346056           0.014483297
            0.910749430           0.013863405
            0.915061359           0.013252282
            0.919280879           0.012650174
            0.923407047           0.012057321
            0.927438939           0.011473964
            0.931375654           0.010900347
            0.935216310           0.010336716
            0.938960050           0.009783323
            0.942606035           0.009240425
            0.946153451           0.008708287
            0.949601504           0.008187184
            0.952949422           0.007677397
            0.956196457           0.007179219
            0.959341882           0.006692954
            0.962384995           0.006218912
            0.965325113           0.005757419
            0.968161581           0.005308804
            0.970893763           0.004873412
            0.973521048           0.004451591
            0.976042849           0.004043699
            0.978458602           0.003650099
            0.980767766           0.003271160
            0.982969825           0.002907253
            0.985064286           0.002558751
            0.987050680           0.002226025
            0.988928565           0.001909447
            0.990697519           0.001609381
            0.992357147           0.001326186
            0.993907077           0.001060212
            0.995346964           0.000811797
            0.996676484           0.000581267
            0.997895342           0.000368933
            0.999003263           0.000175086
            1.000000000           0.000000000
zone T="Low-0" i= 201 
            0.000000000           0.000000000
            0.000242454          -0.001635134
            0.000597111          -0.002566025
            0.001063893          -0.003425105
            0.001642694          -0.004255900
            0.002333385          -0.005072121
            0.003135812          -0.005879613
            0.004049795          -0.006681288
            0.005075130          -0.007478735
            0.006211588          -0.008272869
            0.007458914          -0.009064219
            0.008816829          -0.009853086
            0.010285030          -0.010639617
            0.011863188          -0.011423857
            0.013550950          -0.012205778
            0.015347939          -0.012985295
            0.017253753          -0.013762280
            0.019267965          -0.014536575
            0.021390126          -0.015307990
            0.023619760          -0.016076319
            0.025956368          -0.016841336
            0.028399429          -0.017602802
            0.030948395          -0.018360471
            0.033602697          -0.019114088
            0.036361741          -0.019863398
            0.039224910          -0.020608143
            0.042191563          -0.021348068
            0.045261037          -0.022082925
            0.048432645          -0.022812469
            0.051705678          -0.023536468
            0.055079404          -0.024254699
            0.058553069          -0.024966953
            0.062125895          -0.025673033
            0.065797083          -0.026372760
            0.069565812          -0.027065969
            0.073431239          -0.027752511
            0.077392501          -0.028432253
            0.081448709          -0.029105081
            0.085598959          -0.029770891
            0.089842320          -0.030429599
            0.094177845          -0.031081129
            0.098604563          -0.031725418
            0.103121484          -0.032362413
            0.107727598          -0.032992064
            0.112421875          -0.033614328
            0.117203265          -0.034229160
            0.122070698          -0.034836514
            0.127023086          -0.035436336
            0.132059321          -0.036028562
            0.137178277          -0.036613115
            0.142378809          -0.037189899
            0.147659753          -0.037758798
            0.153019928          -0.038319669
            0.158458136          -0.038872339
            0.163973160          -0.039416604
            0.169563767          -0.039952220
            0.175228706          -0.040478906
            0.180966711          -0.040996337
            0.186776497          -0.041504144
            0.192656765          -0.042001907
            0.198606201          -0.042489161
            0.204623473          -0.042965387
            0.210707236          -0.043430018
            0.216856128          -0.043882431
            0.223068776          -0.044321957
            0.229343788          -0.044747873
            0.235679762          -0.045159410
            0.242075280          -0.045555752
            0.248528913          -0.045936039
            0.255039216          -0.046299373
            0.261604733          -0.046644818
            0.268223997          -0.046971408
            0.274895526          -0.047278151
            0.281617828          -0.047564035
            0.288389400          -0.047828033
            0.295208727          -0.048069111
            0.302074284          -0.048286233
            0.308984535          -0.048478372
            0.315937935          -0.048644514
            0.322932929          -0.048783666
            0.329967952          -0.048894865
            0.337041430          -0.048977187
            0.344151782          -0.049029750
            0.351297417          -0.049051728
            0.358476737          -0.049042352
            0.365688136          -0.049000925
            0.372930001          -0.048926820
            0.380200713          -0.048819493
            0.387498645          -0.048678488
            0.394822164          -0.048503438
            0.402169634          -0.048294076
            0.409539411          -0.048050238
            0.416929846          -0.047771860
            0.424339286          -0.047458992
            0.431766074          -0.047111789
            0.439208549          -0.046730520
            0.446665046          -0.046315567
            0.454133898          -0.045867420
            0.461613434          -0.045386683
            0.469101981          -0.044874066
            0.476597864          -0.044330386
            0.484099407          -0.043756561
            0.491604932          -0.043153609
            0.499112760          -0.042522639
            0.506621211          -0.041864848
            0.514128608          -0.041181516
            0.521633269          -0.040473995
            0.529133518          -0.039743706
            0.536627676          -0.038992127
            0.544114067          -0.038220791
            0.551591016          -0.037431273
            0.559056852          -0.036625180
            0.566509905          -0.035804150
            0.573948507          -0.034969835
            0.581370995          -0.034123896
            0.588775708          -0.033267996
            0.596160991          -0.032403791
            0.603525192          -0.031532917
            0.610866663          -0.030656990
            0.618183763          -0.029777594
            0.625474854          -0.028896274
            0.632738307          -0.028014534
            0.639972497          -0.027133825
            0.647175805          -0.026255543
            0.654346620          -0.025381027
            0.661483339          -0.024511550
            0.668584366          -0.023648318
            0.675648111          -0.022792470
            0.682672996          -0.021945071
            0.689657449          -0.021107115
            0.696599907          -0.020279525
            0.703498819          -0.019463148
            0.710352641          -0.018658762
            0.717159839          -0.017867072
            0.723918892          -0.017088716
            0.730628288          -0.016324267
            0.737286527          -0.015574233
            0.743892118          -0.014839062
            0.750443584          -0.014119147
            0.756939461          -0.013414830
            0.763378294          -0.012726401
            0.769758645          -0.012054110
            0.776079086          -0.011398165
            0.782338204          -0.010758742
            0.788534597          -0.010135983
            0.794666882          -0.009530005
            0.800733685          -0.008940903
            0.806733650          -0.008368755
            0.812665436          -0.007813620
            0.818527714          -0.007275550
            0.824319175          -0.006754586
            0.830038523          -0.006250764
            0.835684478          -0.005764114
            0.841255778          -0.005294666
            0.846751177          -0.004842447
            0.852169445          -0.004407485
            0.857509371          -0.003989808
            0.862769760          -0.003589441
            0.867949436          -0.003206411
            0.873047240          -0.002840740
            0.878062033          -0.002492448
            0.882992691          -0.002161549
            0.887838114          -0.001848047
            0.892597216          -0.001551939
            0.897268934          -0.001273206
            0.901852222          -0.001011812
            0.906346056          -0.000767704
            0.910749430          -0.000540804
            0.915061359          -0.000331009
            0.919280879          -0.000138185
            0.923407047           0.000037832
            0.927438939           0.000197243
            0.931375654           0.000340289
            0.935216310           0.000467248
            0.938960050           0.000578445
            0.942606035           0.000674248
            0.946153451           0.000755072
            0.949601504           0.000821379
            0.952949422           0.000873680
            0.956196457           0.000912533
            0.959341882           0.000938543
            0.962384995           0.000952365
            0.965325113           0.000954693
            0.968161581           0.000946269
            0.970893763           0.000927872
            0.973521048           0.000900318
            0.976042849           0.000864457
            0.978458602           0.000821166
            0.980767766           0.000771346
            0.982969825           0.000715917
            0.985064286           0.000655813
            0.987050680           0.000591975
            0.988928565           0.000525343
            0.990697519           0.000456854
            0.992357147           0.000387432
            0.993907077           0.000317985
            0.995346964           0.000249394
            0.996676484           0.000182510
            0.997895342           0.000118145
            0.999003263           0.000057069
            1.000000000           0.000000000
